disease,n_samples,eml_A,eml_B,delta,miss_rate_A,miss_rate_B,false_alarm_rate_A,false_alarm_rate_B,cost_miss,cost_alarm,severity
healthy_rice,45,0.0,5.76,5.76,0.0,0.0,0.0,0.009,0,640,healthy
healthy_wheat,45,1.44,2.16,0.72,0.0444,0.8667,0.0022,0.0034,0,640,healthy
rice_bacterial_blight,45,0.72,266.67,265.95,0.0,0.0222,0.0011,0.0,12000,640,critical
rice_blast,45,491.05,2445.88,1954.83,0.0222,0.1111,0.0034,0.0022,22000,640,critical
rice_brown_spot,45,0.0,133.33,133.33,0.0,0.0222,0.0,0.0,6000,640,moderate
rice_leaf_scald,45,333.33,444.44,111.11,0.0667,0.0889,0.0,0.0,5000,640,high
rice_sheath_blight,45,0.0,333.33,333.33,0.0,0.0667,0.0,0.0,5000,640,high
wheat_aphid,45,334.05,2339.09,2005.04,0.0667,0.4667,0.0011,0.009,5000,640,moderate
wheat_black_rust,45,1237.65,2528.58,1290.93,0.0667,0.1333,0.0067,0.0967,18500,640,critical
wheat_blast,45,979.22,15156.28,14177.06,0.0444,0.6889,0.0022,0.0011,22000,640,critical
wheat_brown_rust,45,779.94,1229.42,449.48,0.1556,0.2444,0.0034,0.0112,5000,640,high
wheat_fusarium_head_blight,45,383.33,6550.5,6167.17,0.0222,0.3778,0.0,0.0529,17250,640,critical
wheat_leaf_blight,45,449.48,4333.33,3883.85,0.0889,0.8667,0.0079,0.0,5000,640,high
wheat_mite,45,1.44,2002.88,2001.44,0.0,0.4,0.0022,0.0045,5000,640,moderate
wheat_powdery_mildew,45,0.0,2111.11,2111.11,0.0,0.4222,0.0,0.0,5000,640,moderate
wheat_root_rot,45,222.94,4444.44,4221.5,0.0444,0.8889,0.0011,0.0,5000,640,high
wheat_septoria,45,111.11,3555.56,3444.45,0.0222,0.7111,0.0,0.0,5000,640,high
wheat_smut,44,115.07,2954.55,2839.48,0.0227,0.5909,0.0022,0.0,5000,640,moderate
wheat_stem_fly,35,0.71,2714.29,2713.58,0.0,0.5429,0.0011,0.0,5000,640,moderate
wheat_tan_spot,45,559.16,4445.16,3886.0,0.1111,0.8889,0.0056,0.0011,5000,640,moderate
wheat_yellow_rust,45,111.11,145.42,34.31,0.0222,0.0,0.0,0.2272,5000,640,critical
