color_scale,stripe_weight,yolo_override_threshold,macro_f1,rwa,accuracy
15,0.3,0.75,0.2659,0.3429,0.3144
15,0.3,0.8,0.2659,0.3429,0.3144
15,0.3,0.85,0.2615,0.3389,0.3102
15,0.3,0.9,0.2607,0.3385,0.3091
15,0.3,0.95,0.2537,0.3316,0.3027
15,0.4,0.75,0.2676,0.3486,0.3144
15,0.4,0.8,0.2676,0.3486,0.3144
15,0.4,0.85,0.2633,0.3446,0.3102
15,0.4,0.9,0.2625,0.3442,0.3091
15,0.4,0.95,0.2554,0.3373,0.3027
15,0.5,0.75,0.2678,0.3512,0.3144
15,0.5,0.8,0.2678,0.3512,0.3144
15,0.5,0.85,0.2654,0.3476,0.3112
15,0.5,0.9,0.2646,0.3472,0.3102
15,0.5,0.95,0.2582,0.3406,0.3048
15,0.6,0.75,0.2678,0.3512,0.3144
15,0.6,0.8,0.2678,0.3512,0.3144
15,0.6,0.85,0.2654,0.3476,0.3112
15,0.6,0.9,0.2646,0.3472,0.3102
15,0.6,0.95,0.2582,0.3406,0.3048
15,0.7,0.75,0.2678,0.3512,0.3144
15,0.7,0.8,0.2678,0.3512,0.3144
15,0.7,0.85,0.2654,0.3476,0.3112
15,0.7,0.9,0.2646,0.3472,0.3102
15,0.7,0.95,0.2582,0.3406,0.3048
17,0.3,0.75,0.2744,0.3632,0.3283
17,0.3,0.8,0.2744,0.3632,0.3283
17,0.3,0.85,0.2721,0.3596,0.3251
17,0.3,0.9,0.2714,0.3592,0.3241
17,0.3,0.95,0.2639,0.3512,0.3166
17,0.4,0.75,0.2717,0.3657,0.3241
17,0.4,0.8,0.2717,0.3657,0.3241
17,0.4,0.85,0.2695,0.3621,0.3209
17,0.4,0.9,0.2687,0.3617,0.3198
17,0.4,0.95,0.2612,0.3537,0.3123
17,0.5,0.75,0.2726,0.3682,0.3241
17,0.5,0.8,0.2726,0.3682,0.3241
17,0.5,0.85,0.2703,0.3646,0.3209
17,0.5,0.9,0.2695,0.3642,0.3198
17,0.5,0.95,0.2628,0.3566,0.3134
17,0.6,0.75,0.2726,0.3682,0.3241
17,0.6,0.8,0.2726,0.3682,0.3241
17,0.6,0.85,0.2703,0.3646,0.3209
17,0.6,0.9,0.2695,0.3642,0.3198
17,0.6,0.95,0.2628,0.3566,0.3134
17,0.7,0.75,0.2726,0.3682,0.3241
17,0.7,0.8,0.2726,0.3682,0.3241
17,0.7,0.85,0.2703,0.3646,0.3209
17,0.7,0.9,0.2695,0.3642,0.3198
17,0.7,0.95,0.2628,0.3566,0.3134
20,0.3,0.75,0.2804,0.3785,0.3337
20,0.3,0.8,0.2804,0.3785,0.3337
20,0.3,0.85,0.2782,0.3749,0.3305
20,0.3,0.9,0.2775,0.3745,0.3294
20,0.3,0.95,0.2665,0.3657,0.3198
20,0.4,0.75,0.2807,0.38,0.3326
20,0.4,0.8,0.2807,0.38,0.3326
20,0.4,0.85,0.2786,0.3764,0.3294
20,0.4,0.9,0.2778,0.376,0.3283
20,0.4,0.95,0.2667,0.3672,0.3187
20,0.5,0.75,0.2835,0.384,0.3348
20,0.5,0.8,0.2835,0.384,0.3348
20,0.5,0.85,0.2813,0.3804,0.3316
20,0.5,0.9,0.2805,0.38,0.3305
20,0.5,0.95,0.2701,0.3716,0.3219
20,0.6,0.75,0.2835,0.384,0.3348
20,0.6,0.8,0.2835,0.384,0.3348
20,0.6,0.85,0.2813,0.3804,0.3316
20,0.6,0.9,0.2805,0.38,0.3305
20,0.6,0.95,0.2701,0.3716,0.3219
20,0.7,0.75,0.2835,0.384,0.3348
20,0.7,0.8,0.2835,0.384,0.3348
20,0.7,0.85,0.2813,0.3804,0.3316
20,0.7,0.9,0.2805,0.38,0.3305
20,0.7,0.95,0.2701,0.3716,0.3219
23,0.3,0.75,0.2857,0.3869,0.3401
23,0.3,0.8,0.2857,0.3869,0.3401
23,0.3,0.85,0.2836,0.3834,0.3369
23,0.3,0.9,0.2816,0.3808,0.3348
23,0.3,0.95,0.2707,0.372,0.3251
23,0.4,0.75,0.2816,0.3872,0.3348
23,0.4,0.8,0.2816,0.3872,0.3348
23,0.4,0.85,0.2795,0.3836,0.3316
23,0.4,0.9,0.2775,0.3811,0.3294
23,0.4,0.95,0.2674,0.3726,0.3209
23,0.5,0.75,0.2878,0.3933,0.3401
23,0.5,0.8,0.2878,0.3933,0.3401
23,0.5,0.85,0.2856,0.3897,0.3369
23,0.5,0.9,0.2835,0.3872,0.3348
23,0.5,0.95,0.2734,0.3787,0.3262
23,0.6,0.75,0.2878,0.3933,0.3401
23,0.6,0.8,0.2878,0.3933,0.3401
23,0.6,0.85,0.2856,0.3897,0.3369
23,0.6,0.9,0.2835,0.3872,0.3348
23,0.6,0.95,0.2734,0.3787,0.3262
23,0.7,0.75,0.2878,0.3933,0.3401
23,0.7,0.8,0.2878,0.3933,0.3401
23,0.7,0.85,0.2856,0.3897,0.3369
23,0.7,0.9,0.2835,0.3872,0.3348
23,0.7,0.95,0.2734,0.3787,0.3262
25,0.3,0.75,0.2859,0.3941,0.3444
25,0.3,0.8,0.2859,0.3941,0.3444
25,0.3,0.85,0.2838,0.3905,0.3412
25,0.3,0.9,0.2818,0.388,0.339
25,0.3,0.95,0.2712,0.3775,0.3294
25,0.4,0.75,0.2801,0.3935,0.3369
25,0.4,0.8,0.2801,0.3935,0.3369
25,0.4,0.85,0.278,0.3899,0.3337
25,0.4,0.9,0.276,0.3874,0.3316
25,0.4,0.95,0.2661,0.3773,0.323
25,0.5,0.75,0.2867,0.3996,0.3422
25,0.5,0.8,0.2867,0.3996,0.3422
25,0.5,0.85,0.2845,0.396,0.339
25,0.5,0.9,0.2825,0.3935,0.3369
25,0.5,0.95,0.2725,0.3834,0.3283
25,0.6,0.75,0.2867,0.3996,0.3422
25,0.6,0.8,0.2867,0.3996,0.3422
25,0.6,0.85,0.2845,0.396,0.339
25,0.6,0.9,0.2825,0.3935,0.3369
25,0.6,0.95,0.2725,0.3834,0.3283
25,0.7,0.75,0.2867,0.3996,0.3422
25,0.7,0.8,0.2867,0.3996,0.3422
25,0.7,0.85,0.2845,0.396,0.339
25,0.7,0.9,0.2825,0.3935,0.3369
25,0.7,0.95,0.2725,0.3834,0.3283
